prop_id,position,original_rank,predicted_rank,predicted_score,relevance_score,prop_starrating,price_usd,prop_review_score
58916,1,1.0,1.0,2.031909927079023,0,2,115.0,4.0
124374,2,2.0,2.0,0.832202616537659,0,5,369.0,4.5
87336,25,21.0,3.0,-0.5735938937529668,6,3,200.0,4.5
63854,7,6.0,4.0,-1.0647107095103534,0,4,245.0,4.0
80933,34,30.0,5.0,-2.5796276930683364,0,3,200.0,4.5
25486,32,28.0,6.0,-8.796311658534469,0,3,124.0,4.0
121281,21,18.0,7.0,-8.807967055275892,0,3,103.0,3.5
1746,16,14.0,8.0,-8.822768171342561,0,2,109.0,3.0
63666,35,31.0,9.0,-8.880766198420353,0,2,87.0,3.5
22133,19,16.0,10.0,-8.902121617531076,0,3,169.0,3.0
11177,3,3.0,11.0,-8.90425150583178,0,3,139.0,4.0
62906,4,4.0,12.0,-8.929201344005033,0,4,230.0,4.5
6900,9,8.0,13.0,-8.939615713535334,0,3,119.0,3.5
87451,33,29.0,14.0,-8.947985358851437,0,2,106.0,3.5
78244,30,26.0,15.0,-8.95197145210816,0,2,119.0,2.0
21203,26,22.0,16.0,-8.966064646712299,0,3,185.0,3.0
48836,22,19.0,17.0,-8.980053240967433,0,4,250.0,4.5
11164,10,9.0,18.0,-9.003256788012601,0,3,199.0,4.5
51100,13,11.0,19.0,-9.013923097739085,0,3,189.0,4.0
100183,18,15.0,20.0,-9.030816013391215,0,3,189.0,4.5
32605,20,17.0,21.0,-9.050756920715388,0,3,170.0,4.5
72004,31,27.0,22.0,-9.089775404921973,0,3,152.0,3.5
56248,27,23.0,23.0,-9.098529324322957,0,2,150.0,2.5
46483,36,32.0,24.0,-9.110444140174948,0,3,150.0,4.5
112919,29,25.0,25.0,-9.13630019489342,0,5,370.0,4.5
100939,24,20.0,26.0,-9.149127047040244,0,4,226.0,4.5
134331,14,12.0,27.0,-9.150866581244825,0,3,200.0,4.0
119735,15,13.0,27.0,-9.150866581244825,0,3,200.0,4.5
125488,12,10.0,28.0,-9.168706946022468,0,3,200.0,4.0
43607,6,5.0,29.0,-9.172698955963176,0,3,200.0,4.0
93477,28,24.0,30.0,-9.232247332005393,0,3,199.0,4.5
128219,8,7.0,31.0,-9.26084332582583,0,3,200.0,4.0
