prop_id,position,original_rank,predicted_rank,predicted_score,relevance_score,prop_starrating,price_usd,prop_review_score
80385,33,29.0,1.0,0.7912870296548874,6,3,-0.702322266076071,-0.2998385609005362
62596,4,4.0,2.0,0.1956299077126874,0,3,0.5347859655930577,0.1916013415663611
130559,10,9.0,3.0,-0.11832170481778008,0,3,0.3973294954075989,-0.7912784633674337
83473,16,14.0,4.0,-0.3032807050575197,0,3,-0.3036985025382406,-0.2998385609005362
57592,20,17.0,5.0,-0.3912888640936257,0,4,0.6722424357785164,0.1916013415663611
127215,18,15.0,6.0,-0.6584315718377506,0,3,0.3973294954075989,0.1916013415663611
100924,24,20.0,7.0,-0.781374053168383,0,4,-0.152496385334236,-0.7912784633674337
12283,29,25.0,8.0,-1.1479359380080387,0,4,0.3835838483890531,-0.2998385609005362
109781,15,13.0,9.0,-2.2265020549247563,0,2,-0.5648657958906123,-1.282718365834331
105410,28,24.0,9.0,-2.2265020549247563,0,3,-0.4274093257051535,0.1916013415663611
107732,2,2.0,9.0,-2.2265020549247563,0,4,0.5347859655930577,0.1916013415663611
10717,34,30.0,9.0,-2.2265020549247563,0,3,0.2598730252221402,-0.2998385609005362
112422,7,6.0,9.0,-2.2265020549247563,0,4,0.3973294954075989,0.1916013415663611
104871,31,27.0,9.0,-2.2265020549247563,0,2,-0.5648657958906123,-0.7912784633674337
116080,36,32.0,9.0,-2.2265020549247563,0,3,-0.3036985025382406,-0.2998385609005362
124566,9,8.0,9.0,-2.2265020549247563,0,2,-0.7710505011688004,-0.7912784633674337
129600,32,28.0,9.0,-2.2265020549247563,0,3,-0.1799876793713277,-0.7912784633674337
129900,3,3.0,9.0,-2.2265020549247563,0,4,0.1224165550366814,0.1916013415663611
114559,30,26.0,9.0,-2.2265020549247563,0,3,-0.0287855621673231,-0.2998385609005362
95440,26,22.0,9.0,-2.2265020549247563,0,3,-0.2899528555196947,0.1916013415663611
97053,25,21.0,9.0,-2.2265020549247563,0,4,0.4523120834817824,0.1916013415663611
67489,19,16.0,9.0,-2.2265020549247563,0,3,-0.152496385334236,-0.7912784633674337
64603,35,31.0,9.0,-2.2265020549247563,0,3,0.1224165550366814,-0.2998385609005362
64108,8,7.0,9.0,-2.2265020549247563,0,3,0.1224165550366814,-0.2998385609005362
59976,6,5.0,9.0,-2.2265020549247563,0,4,0.2598730252221402,-0.2998385609005362
47961,13,11.0,9.0,-2.2265020549247563,0,3,-0.0150399151487772,-0.2998385609005362
43830,21,18.0,9.0,-2.2265020549247563,0,3,0.3560925543519613,-0.2998385609005362
40067,12,10.0,9.0,-2.2265020549247563,0,3,-0.0700225032229607,0.1916013415663611
21708,1,1.0,9.0,-2.2265020549247563,0,5,0.2736186722406861,0.1916013415663611
14859,14,12.0,9.0,-2.2265020549247563,0,3,0.3560925543519613,0.1916013415663611
12609,22,19.0,9.0,-2.2265020549247563,0,4,0.3973294954075989,0.1916013415663611
137535,27,23.0,9.0,-2.2265020549247563,0,3,0.2598730252221402,0.1916013415663611
