prop_id,position,original_rank,predicted_rank,predicted_score,relevance_score,prop_starrating,price_usd,prop_review_score
57039,12,10.0,1.0,2.117749529493347,6,2,-0.9634895594284426,0.1916013415663611
1376,10,9.0,2.0,-2.2265020549247563,0,3,-0.4274093257051535,1.174481146500156
63872,3,3.0,2.0,-2.2265020549247563,0,3,-0.8397787362615298,0.6830412440332585
122378,29,25.0,2.0,-2.2265020549247563,0,3,-0.5648657958906123,-3.7399178781688183
102597,25,21.0,2.0,-2.2265020549247563,0,2,-1.1696742647066307,-0.2998385609005362
97823,2,2.0,2.0,-2.2265020549247563,0,2,-1.1696742647066307,-0.2998385609005362
91897,19,16.0,2.0,-2.2265020549247563,0,3,-0.4274093257051535,1.174481146500156
90128,20,17.0,2.0,-2.2265020549247563,0,3,-0.6198483839647957,0.6830412440332585
82594,8,7.0,2.0,-2.2265020549247563,0,3,-0.5236288548349746,1.174481146500156
82591,26,22.0,2.0,-2.2265020549247563,0,2,-1.2658937938364518,-0.2998385609005362
75902,14,12.0,2.0,-2.2265020549247563,0,2,-0.9634895594284426,-0.7912784633674337
72796,15,13.0,2.0,-2.2265020549247563,0,3,-0.2899528555196947,-3.7399178781688183
71815,30,26.0,2.0,-2.2265020549247563,0,0,-0.9359982653913508,0.1916013415663611
69577,7,6.0,2.0,-2.2265020549247563,0,3,-1.032217794521172,-0.7912784633674337
61003,4,4.0,2.0,-2.2265020549247563,0,3,-0.8947613243357132,0.1916013415663611
6151,32,28.0,2.0,-2.2265020549247563,0,0,-1.1696742647066307,-1.282718365834331
59262,1,1.0,2.0,-2.2265020549247563,0,2,-0.9909808534655344,-0.2998385609005362
53373,9,8.0,2.0,-2.2265020549247563,0,2,-1.0184721475026262,-0.2998385609005362
52382,31,27.0,2.0,-2.2265020549247563,0,0,-1.1834199117251765,-1.7741582683012285
47091,13,11.0,2.0,-2.2265020549247563,0,2,-0.9634895594284426,-0.2998385609005362
46280,16,14.0,2.0,-2.2265020549247563,0,0,-1.0047265004840802,-3.7399178781688183
45746,27,23.0,2.0,-2.2265020549247563,0,3,-0.4274093257051535,0.6830412440332585
44749,24,20.0,2.0,-2.2265020549247563,0,2,-0.7985417952058921,-0.2998385609005362
44137,18,15.0,2.0,-2.2265020549247563,0,0,-1.100946029613901,-3.7399178781688183
35309,28,24.0,2.0,-2.2265020549247563,0,2,-1.100946029613901,-0.7912784633674337
28562,22,19.0,2.0,-2.2265020549247563,0,2,-1.1834199117251765,-0.2998385609005362
19066,21,18.0,2.0,-2.2265020549247563,0,3,-0.482391913779337,0.6830412440332585
140813,6,5.0,2.0,-2.2265020549247563,0,2,-0.8260330892429838,-0.2998385609005362
