prop_id,position,original_rank,predicted_rank,predicted_score,relevance_score,prop_starrating,price_usd,prop_review_score
40346,19,16.0,1.0,1.606305472633713,1,0,100.0,5.0
71517,14,12.0,2.0,-0.417104161617591,0,4,250.0,4.0
31407,1,1.0,3.0,-7.541987612526058,0,4,250.0,4.5
6102,3,3.0,4.0,-7.606979315796159,0,5,370.0,4.5
104351,2,2.0,5.0,-7.62536600051957,0,4,250.0,4.5
58214,4,4.0,6.0,-7.649471118559005,0,3,175.0,4.5
10130,6,5.0,7.0,-7.7027441652219935,0,5,370.0,5.0
105209,15,13.0,8.0,-7.804071517664141,0,4,154.0,4.5
18141,7,6.0,9.0,-7.828969366442593,0,4,250.0,4.5
128682,29,25.0,10.0,-7.833563247962938,0,3,91.0,4.5
45749,10,9.0,11.0,-7.843727898602571,0,4,210.0,4.5
6679,13,11.0,12.0,-7.923731067358266,0,5,370.0,4.0
67145,12,10.0,13.0,-7.925195989432428,0,0,100.0,4.5
43237,27,23.0,14.0,-7.968153613466476,0,3,84.0,4.0
65149,8,7.0,15.0,-8.017837218701015,0,2,68.0,5.0
47471,24,20.0,16.0,-8.023529744778525,0,5,370.0,4.5
6082,25,21.0,17.0,-8.055391748825942,0,5,318.0,4.5
5712,20,17.0,18.0,-8.068945838880579,0,4,250.0,4.0
81114,28,24.0,19.0,-8.089652246629315,0,0,100.0,4.0
55395,16,14.0,20.0,-8.114164492099476,0,3,200.0,3.5
7416,9,8.0,21.0,-8.137318349778608,0,4,100.0,3.5
35277,21,18.0,22.0,-8.17626503220923,0,4,250.0,3.0
53006,22,19.0,23.0,-8.274351129067691,0,3,131.0,4.5
90125,26,22.0,24.0,-8.280062150055866,0,4,250.0,4.0
41285,18,15.0,25.0,-8.477435727875692,0,2,150.0,4.5
